neuron,category,formula,threshold
101,(object OR object OR scene),(bathtub OR toilet OR shower-s),5.0
102,(scene OR scene OR scene),(corridor-s OR subway interior-s OR elevator lobby-s),5.4
103,(object OR object OR part),(cradle OR autobus OR fire escape),4.6
104,(object OR object OR object),(sea OR waterfall OR island),5.0
105,(object OR scene OR scene),(rock OR creek-s OR mountain path-s),3.6
106,(object OR scene OR scene),(pitch OR bullring-s OR volleyball court-outdoor-s),4.2
107,(scene OR object OR scene),(playroom-s OR arcade machine OR kindergarden classroom-s),5.0
108,(object OR scene OR scene),(pool table OR fairway-s OR golf course-s),5.1
109,(scene OR object OR scene),(art gallery-s OR drawing OR museum-indoor-s),4.7
110,(scene OR scene OR scene),(greenhouse-indoor-s OR vegetable garden-s OR herb garden-s),3.8
111,(object OR object OR scene),(field OR autobus OR fire station-s),3.9
112,((scene OR part) AND object),((conference room-s OR top) AND table),8.0
113,(scene OR scene OR object),(bowling alley-s OR temple-east asia-s OR escalator),3.9
114,(scene OR object OR scene),(conference room-s OR plane OR heliport-s),4.9
115,(object OR scene OR scene),(aquarium OR junkyard-s OR beach house-s),3.5
116,(scene OR scene OR object),(roundabout-s OR bayou-s OR palm),4.4
117,((scene OR scene) AND NOT color),((airplane cabin-s OR hot spring-s) AND NOT red-c),4.3
118,(object OR scene OR scene),(skyscraper OR downtown-s OR oast house-s),4.4
119,(object OR object OR object),(sidewalk OR railroad train OR pier),4.9
120,(scene OR scene OR object),(water tower-s OR gazebo-exterior-s OR telephone booth),4.2
121,(scene OR scene OR scene),(park-s OR campus-s OR forest-broadleaf-s),5.1
122,(scene OR scene OR object),(zen garden-s OR desert-sand-s OR labyrinth),4.8
123,(scene OR object OR scene),(gas station-s OR signboard OR reception-s),4.3
124,((scene AND NOT color) OR scene),((dining room-s AND NOT grey-c) OR banquet hall-s),6.4
125,(object OR object OR object),(stove OR work surface OR bottle),5.6
126,(object OR object OR object),(book OR bookcase OR book stand),5.0
127,(object OR scene OR scene),(shelf OR closet-s OR ball pit-s),4.9
128,(object OR object OR scene),(waterfall OR dam OR movie theater-indoor-s),4.0
129,(scene OR scene OR scene),(coast-s OR beach-s OR dolmen-s),4.5
130,(object OR object OR object),(signboard OR trade name OR text),4.9
131,(object OR scene OR scene),(sofa OR theater-indoor procenium-s OR auditorium-s),4.1
132,(object OR object OR scene),(waterfall OR court OR football field-s),4.3
133,(object OR object OR object),(sink OR toilet OR bathtub),5.8
134,(object OR scene OR scene),(flower OR ball pit-s OR field-cultivated-s),3.4
135,(scene OR scene OR scene),(classroom-s OR lecture room-s OR conference center-s),4.6
136,(object OR scene OR object),(sink OR water tower-s OR toilet),5.4
137,(scene OR scene OR scene),(subway interior-s OR bus interior-s OR bank vault-s),4.5
138,(scene OR scene OR scene),(doorway-outdoor-s OR doorway-indoor-s OR bow window-outdoor-s),4.0
139,(object OR scene OR scene),(field OR savanna-s OR windmill-s),4.8
140,(object OR scene OR object),(skyscraper OR jail cell-s OR grill),5.0
141,(scene OR scene OR object),(conference room-s OR gymnasium-indoor-s OR book),4.4
142,(scene OR object OR scene),(alley-s OR ruins OR fire escape-s),4.1
143,(scene OR scene OR scene),(parlor-s OR throne room-s OR cathedral-indoor-s),4.8
144,(scene OR scene OR scene),(locker room-s OR ice skating rink-indoor-s OR bullring-s),3.9
145,(scene OR scene OR scene),(reception-s OR dinette-vehicle-s OR home theater-s),5.0
146,(scene OR scene OR scene),(shoe shop-s OR parking garage-indoor-s OR art gallery-s),4.0
147,(scene OR scene OR object),(lighthouse-s OR courthouse-s OR watchtower),4.6
148,(scene OR scene OR object),(bakery-shop-s OR fastfood restaurant-s OR signboard),4.2
